BZ,65,152
EG,53,164
XQ,58,182
SJ,63,165
XY,52,151
TU,92,144
DL,48,163
SP,79,173
ZZ,91,199
HZ,89,170
ZS,97,144
DZ,63,173
PS,85,196
GI,94,164
OE,89,192
NT,64,157
YM,74,175
WL,81,176
MX,49,177
JB,77,144
QG,91,146
UP,82,141
XM,42,177
FU,72,187
TX,85,196
JE,44,176
ZM,98,188
DO,74,165
WU,62,160
EQ,87,166
UE,99,154
XZ,58,143
IO,49,145
QX,58,159
KO,98,169
RP,51,170
MG,44,157
MT,72,180
ZX,68,149
KA,61,178
JL,98,171
EV,64,157
DO,92,142
IH,87,165
OG,92,175
YQ,90,154
VT,48,151
XT,62,150
CY,67,199
YW,74,198
SN,72,162
SI,85,152
QH,82,140
WZ,58,156
US,40,148
UE,91,151
WY,88,157
ZE,87,187
SI,77,145
HY,70,159
WK,48,165
QS,74,166
XV,71,195
ZM,63,157
UL,44,182
KV,94,177
DC,59,165
LY,72,153
UE,49,170
LP,61,145
FR,41,162
ED,54,190
FF,46,146
KK,90,144
EU,64,166
YZ,79,187
FT,83,167
QW,78,153
FL,45,172
PQ,49,161
YS,43,176
XY,65,169
HL,79,162
HC,62,157
RM,43,175
PK,66,160
NM,52,183
WO,49,159
CU,45,155
VB,88,160
LO,90,150
KJ,75,178
FB,81,144
FF,79,173
TJ,73,163
VJ,43,144
KD,67,176
VF,59,178
QX,81,160
AJ,68,186
UC,47,148
GY,80,169
QW,58,177
JJ,89,161
AM,83,181
RA,74,141
TZ,58,175
IM,75,196
PT,49,160
BJ,50,147
CB,82,189
FV,75,149
GB,65,160
HP,77,150
GS,90,149
MX,82,151
RZ,51,148
VP,50,197
LE,69,198
KN,69,140
RI,83,191
OK,83,155
OC,88,143
DR,49,169
UB,98,174
AD,84,183
MW,94,177
WO,78,148
HK,77,184
XP,77,141
QZ,65,170
OX,62,199
WD,64,162
CB,98,154
XB,72,169
HM,86,184
QM,80,179
PU,97,180
IX,67,163
XK,88,168
XD,96,192
GZ,64,190
LR,93,167
DG,74,143
WC,73,174
FI,98,183
MG,75,191
TV,61,182
CF,50,150
ZE,72,186
YD,76,168
WL,40,173
FS,47,173
IT,94,175
SR,41,163
TL,47,147
FR,81,199
TM,94,147
KQ,90,169
KT,75,170
OL,42,196
XX,65,191
JZ,89,188
UT,60,167
SP,76,187
MC,92,144
JA,70,187
WE,67,172
LT,51,196
DN,61,169
ND,82,143
FQ,59,154
ZY,90,145
WP,84,155
VU,90,168
VO,99,198
KE,90,158
KW,66,192
RG,45,145
JD,98,173
YL,45,166
CX,49,153
ZD,82,195
WA,94,150
TQ,45,142
AZ,50,198
KJ,64,166
AU,59,153
WY,55,167
JX,87,143
IS,71,176
IY,50,179
WK,74,152
KQ,77,161
JH,60,196
FM,52,167
YE,98,156
UJ,65,162
FW,63,173
NK,84,146
WN,44,169
UR,93,189
VY,83,177
QK,60,184
BT,53,173
QS,65,154
MC,52,160
GL,42,142
ZH,61,182
ZQ,59,181
ED,97,163
GS,95,186
NJ,85,197
KU,59,149
KC,90,172
GP,98,168
KQ,56,185
TD,46,157
MS,87,143
GV,97,190
WY,85,181
GP,71,186
WZ,93,179
HC,67,177
FS,78,199
MO,92,189
YG,79,172
NF,77,167
GC,57,193
GT,74,151
KB,47,191
YX,88,144
FW,57,161
HB,69,166
LP,98,179
CP,95,173
QS,54,194
RK,81,189
EH,46,142
LY,44,180
FQ,43,193
NT,45,196
GC,44,181
OB,98,166
LD,40,167
BE,50,180
OQ,61,170
GT,82,185
MN,94,166
AS,61,141
ZW,67,177
OV,51,160
PX,69,197
FE,80,185
XV,43,172
ZZ,52,178
FR,78,188
BW,81,178
TP,60,148
TZ,62,146
SH,55,189
WL,59,176
LX,63,163
PD,54,166
GA,76,175
WN,86,181
XV,82,146
FM,63,173
